Variable,Min,Max,Mean,Std,Moran's I,Moran p-value
Intercept,-0.3108121418585056,0.3758499735574568,0.045927625188871946,0.120491785551576,0.963174233138652,0.0
Distance Moyenne Dacces Aux 4 Biens De Base,-0.22505026371027603,0.3251568074638932,0.051211677720541554,0.11108066509758416,0.9768158951253046,0.0
Part De Leurope Des 14 Hors Belgique,-0.12849691804153865,1.0279668591840583,0.3994884942625314,0.18940182957660354,0.964551303071462,0.0
Part Des 30 44 Ans Dans La Population Totale,-0.18568823133387297,0.5827383368707151,0.34789286180418116,0.16420832912256728,0.9833064224066683,0.0
Part Des 65 Ans Et Plus Dans La Population Totale,0.3216236206020021,0.813804699573235,0.6695646096334914,0.10621602155744134,0.9749243106081544,0.0
Part Des Logements Ayant Acces A Un Jardin Prive,-0.6464188587311405,-0.3380207847306846,-0.4523291040780053,0.076711800352735,0.9584316665653911,0.0
Revenu Equivalent Median Des Habitants Apres Impot,-0.44827973275453453,0.07398786224389718,-0.29497384188006776,0.09356651715916221,0.9583108940245197,0.0
Taux De Croissance Annuel Moyen De La Population,-0.29721632415484733,0.12527438944642993,-0.07644549441595665,0.060509405041516987,0.9687057200752186,0.0
--- Condition Number ---,3.887938363229776,8.162283235125892,5.519796938528086,0.7567904848305946,,
Local R²,0.25079689242811887,0.6295105194178374,0.5798673099283529,0.0577548282635545,,
